Day,Age_in_months,IdLabel,Cage_level,Cage,duration
1,12,19231J,2,Cage 2-1,486.673
1,12,19231J,2,Cage 2-2,156.972
1,12,19231J,2,Cage 2-3,536.021
1,12,19231J,2,Cage 2-4,559.753
1,12,19231J,2,Cage 2-5,564.031
1,12,19231J,2,Cage 2-6,675.72
1,15,18291F,2,Cage 2-1,300.759
1,15,18291F,2,Cage 2-2,976.378
1,15,18291F,2,Cage 2-3,330.494
1,15,18291F,2,Cage 2-4,663.513
1,15,18291F,2,Cage 2-5,375.596
1,15,18291F,2,Cage 2-6,745.318
1,18,16829E,2,Cage 2-1,444.654
1,18,16829E,2,Cage 2-3,486.412
1,18,16829E,2,Cage 2-4,370.011
1,18,16829E,2,Cage 2-5,452.996
1,18,16829E,2,Cage 2-6,734.109
1,20,16509C,2,Cage 2-1,386.495
1,20,16509C,2,Cage 2-2,799.372
1,20,16509C,2,Cage 2-3,334.566
1,20,16509C,2,Cage 2-4,603.975
1,20,16509C,2,Cage 2-5,382.246
1,20,16509C,2,Cage 2-6,584.554
1,25,14827B,2,Cage 2-1,216.743
1,25,14827B,2,Cage 2-2,1239.154
1,25,14827B,2,Cage 2-3,389.995
1,25,14827B,2,Cage 2-4,730.904
1,25,14827B,2,Cage 2-5,549.755
1,25,14827B,2,Cage 2-6,437.17
1,37,10793A,2,Cage 2-1,456.187
1,37,10793A,2,Cage 2-2,825.96
1,37,10793A,2,Cage 2-3,337.526
1,37,10793A,2,Cage 2-4,515.157
1,37,10793A,2,Cage 2-5,438.152
1,37,10793A,2,Cage 2-6,542.417
2,12,19231J,1,Cage 1-1,5035.412
2,12,19231J,1,Cage 1-2,297.654
2,12,19231J,1,Cage 1-3,336.842
2,12,19231J,1,Cage 1-4,331.03
2,12,19231J,1,Cage 1-5,256.072
2,12,19231J,1,Cage 1-6,299.325
2,12,19231J,2,Cage 2-1,674.722
2,12,19231J,2,Cage 2-2,500.604
2,12,19231J,2,Cage 2-3,330.325
2,12,19231J,2,Cage 2-4,381.109
2,12,19231J,2,Cage 2-5,561.676
2,12,19231J,2,Cage 2-6,2454.141
2,12,19231J,3,Cage 3-1,716.276
2,12,19231J,3,Cage 3-2,822.553
2,12,19231J,3,Cage 3-3,833.138
2,12,19231J,3,Cage 3-4,799.643
2,12,19231J,3,Cage 3-5,559.881
2,12,19231J,3,Cage 3-6,11535.252
2,15,18291F,2,Cage 2-4,1.671
2,15,18291F,3,Cage 3-1,730.186
2,15,18291F,3,Cage 3-2,2255.189
2,15,18291F,3,Cage 3-3,3832.441
2,15,18291F,3,Cage 3-4,14217.347
2,15,18291F,3,Cage 3-5,697.837
2,15,18291F,3,Cage 3-6,7665.897
2,18,16829E,2,Cage 2-1,11040.081
2,18,16829E,2,Cage 2-2,1043.618
2,18,16829E,2,Cage 2-3,4153.347
2,18,16829E,2,Cage 2-4,916.781
2,18,16829E,2,Cage 2-5,1066.032
2,18,16829E,2,Cage 2-6,9399.698
2,20,16509C,3,Cage 3-1,13978.873
2,20,16509C,3,Cage 3-2,2228.087
2,20,16509C,3,Cage 3-3,1254.088
2,20,16509C,3,Cage 3-4,4305.331
2,20,16509C,3,Cage 3-5,672.812
2,20,16509C,3,Cage 3-6,820.434
2,25,14827B,3,Cage 3-1,1363.265
2,25,14827B,3,Cage 3-2,3164.828
2,25,14827B,3,Cage 3-3,877.595
2,25,14827B,3,Cage 3-4,4421.862
2,25,14827B,3,Cage 3-5,407.526
2,25,14827B,3,Cage 3-6,1386.233
2,37,10793A,3,Cage 3-1,1210.232
2,37,10793A,3,Cage 3-2,2206.784
2,37,10793A,3,Cage 3-3,1331.178
2,37,10793A,3,Cage 3-4,4204.926
2,37,10793A,3,Cage 3-5,322.037
2,37,10793A,3,Cage 3-6,9151.795
3,12,19231J,1,Cage 1-1,3637.397
3,12,19231J,1,Cage 1-2,503.35
3,12,19231J,1,Cage 1-3,4315.856
3,12,19231J,1,Cage 1-4,8867.247
3,12,19231J,1,Cage 1-5,361.047
3,12,19231J,1,Cage 1-6,4487.868
3,12,19231J,2,Cage 2-1,56.083
3,12,19231J,2,Cage 2-2,349.045
3,12,19231J,2,Cage 2-3,105.906
3,12,19231J,2,Cage 2-4,76.981
3,12,19231J,2,Cage 2-5,142.475
3,12,19231J,2,Cage 2-6,198.565
3,12,19231J,3,Cage 3-1,527.674
3,12,19231J,3,Cage 3-2,572.959
3,12,19231J,3,Cage 3-3,214.81
3,12,19231J,3,Cage 3-4,189.179
3,12,19231J,3,Cage 3-5,216.275
3,12,19231J,3,Cage 3-6,268.849
3,15,18291F,1,Cage 1-1,3004.149
3,15,18291F,1,Cage 1-2,1582.079
3,15,18291F,1,Cage 1-3,3836.018
3,15,18291F,1,Cage 1-4,5488.506
3,15,18291F,1,Cage 1-5,372.381
3,15,18291F,1,Cage 1-6,6775.703
3,15,18291F,2,Cage 2-2,55.549
3,15,18291F,2,Cage 2-4,88.119
3,15,18291F,3,Cage 3-1,1646.417
3,15,18291F,3,Cage 3-2,82.289
3,15,18291F,3,Cage 3-3,785.497
3,15,18291F,3,Cage 3-4,352.497
3,15,18291F,3,Cage 3-5,52.606
3,15,18291F,3,Cage 3-6,51.355
3,18,16829E,2,Cage 2-1,3781.171
3,18,16829E,2,Cage 2-2,809.754
3,18,16829E,2,Cage 2-3,576.121
3,18,16829E,2,Cage 2-4,593.827
3,18,16829E,2,Cage 2-5,450.398
3,18,16829E,2,Cage 2-6,7869.358
3,20,16509C,3,Cage 3-1,24296.84
3,20,16509C,3,Cage 3-2,1180.448
3,20,16509C,3,Cage 3-3,248.291
3,20,16509C,3,Cage 3-4,4681.602
3,20,16509C,3,Cage 3-5,224.716
3,20,16509C,3,Cage 3-6,1149.159
3,25,14827B,1,Cage 1-1,426.035
3,25,14827B,1,Cage 1-2,1302.85
3,25,14827B,1,Cage 1-3,961.449
3,25,14827B,1,Cage 1-4,1651.939
3,25,14827B,1,Cage 1-5,340.555
3,25,14827B,1,Cage 1-6,1885.488
3,25,14827B,2,Cage 2-1,4440.498
3,25,14827B,2,Cage 2-2,2078.318
3,25,14827B,2,Cage 2-3,1861.9
3,25,14827B,2,Cage 2-4,238.606
3,25,14827B,2,Cage 2-5,266.034
3,25,14827B,2,Cage 2-6,369.26
3,25,14827B,3,Cage 3-1,66.775
3,25,14827B,3,Cage 3-3,10.53
3,37,10793A,1,Cage 1-1,1865.13
3,37,10793A,1,Cage 1-2,276.738
3,37,10793A,1,Cage 1-3,25.008
3,37,10793A,1,Cage 1-4,51.194
3,37,10793A,1,Cage 1-5,18.289
3,37,10793A,1,Cage 1-6,826.236
3,37,10793A,2,Cage 2-2,7.292
3,37,10793A,2,Cage 2-3,250.114
3,37,10793A,2,Cage 2-4,71.676
3,37,10793A,2,Cage 2-5,10.136
3,37,10793A,2,Cage 2-6,27.772
3,37,10793A,3,Cage 3-1,82.248
3,37,10793A,3,Cage 3-2,943.05
3,37,10793A,3,Cage 3-3,3234.941
3,37,10793A,3,Cage 3-4,5762.705
3,37,10793A,3,Cage 3-5,219.161
3,37,10793A,3,Cage 3-6,71.633
4,12,19231J,1,Cage 1-1,90.592
4,12,19231J,1,Cage 1-2,140.135
4,12,19231J,1,Cage 1-3,97.407
4,12,19231J,1,Cage 1-4,6651.766
4,12,19231J,1,Cage 1-5,142.926
4,12,19231J,1,Cage 1-6,4283.722
4,12,19231J,2,Cage 2-1,692.639
4,12,19231J,2,Cage 2-2,469.895
4,12,19231J,2,Cage 2-3,97.823
4,12,19231J,2,Cage 2-4,144.739
4,12,19231J,2,Cage 2-5,268.935
4,12,19231J,2,Cage 2-6,46.524
4,12,19231J,3,Cage 3-1,221.232
4,12,19231J,3,Cage 3-2,751.573
4,12,19231J,3,Cage 3-3,14169.369
4,12,19231J,3,Cage 3-4,711.808
4,12,19231J,3,Cage 3-5,193.26
4,12,19231J,3,Cage 3-6,99.407
4,15,18291F,1,Cage 1-1,97.298
4,15,18291F,1,Cage 1-2,217.638
4,15,18291F,1,Cage 1-3,15511.209
4,15,18291F,1,Cage 1-4,2365.196
4,15,18291F,1,Cage 1-5,120.245
4,15,18291F,1,Cage 1-6,263.859
4,15,18291F,2,Cage 2-1,36.297
4,15,18291F,2,Cage 2-2,509.458
4,15,18291F,2,Cage 2-3,174.249
4,15,18291F,2,Cage 2-4,278.759
4,15,18291F,2,Cage 2-5,164.4
4,15,18291F,2,Cage 2-6,1416.391
4,15,18291F,3,Cage 3-1,465.516
4,15,18291F,3,Cage 3-2,475.017
4,15,18291F,3,Cage 3-3,3886.616
4,15,18291F,3,Cage 3-4,6036.436
4,15,18291F,3,Cage 3-5,287.941
4,15,18291F,3,Cage 3-6,639.62
4,18,16829E,2,Cage 2-1,687.316
4,18,16829E,2,Cage 2-2,448.706
4,18,16829E,2,Cage 2-3,9560.619
4,18,16829E,2,Cage 2-4,7326.959
4,18,16829E,2,Cage 2-5,1020.613
4,18,16829E,2,Cage 2-6,969.17
4,20,16509C,3,Cage 3-1,2583.102
4,20,16509C,3,Cage 3-2,285.067
4,20,16509C,3,Cage 3-3,16838.97
4,20,16509C,3,Cage 3-4,8102.701
4,20,16509C,3,Cage 3-5,522.121
4,20,16509C,3,Cage 3-6,575.93
4,25,14827B,1,Cage 1-1,332.924
4,25,14827B,1,Cage 1-2,1084.591
4,25,14827B,1,Cage 1-3,1222.421
4,25,14827B,1,Cage 1-4,5361.65
4,25,14827B,1,Cage 1-5,348.193
4,25,14827B,1,Cage 1-6,116.102
4,25,14827B,2,Cage 2-1,425.98
4,25,14827B,2,Cage 2-2,388.354
4,25,14827B,2,Cage 2-3,2040.773
4,25,14827B,2,Cage 2-4,209.863
4,25,14827B,2,Cage 2-5,151.802
4,25,14827B,2,Cage 2-6,4204.336
4,25,14827B,3,Cage 3-1,68.543
4,25,14827B,3,Cage 3-2,553.178
4,25,14827B,3,Cage 3-3,423.78
4,25,14827B,3,Cage 3-4,146.791
4,25,14827B,3,Cage 3-5,95.098
4,25,14827B,3,Cage 3-6,101.816
4,37,10793A,1,Cage 1-1,224.822
4,37,10793A,1,Cage 1-2,1443.377
4,37,10793A,1,Cage 1-3,97.196
4,37,10793A,1,Cage 1-4,6652.903
4,37,10793A,1,Cage 1-5,52.422
4,37,10793A,1,Cage 1-6,18.649
4,37,10793A,2,Cage 2-1,231.608
4,37,10793A,2,Cage 2-2,1715.711
4,37,10793A,2,Cage 2-3,10891.141
4,37,10793A,2,Cage 2-4,131.846
4,37,10793A,2,Cage 2-5,195.581
4,37,10793A,2,Cage 2-6,43.012
5,12,19231J,1,Cage 1-1,286.216
5,12,19231J,1,Cage 1-2,2143.002
5,12,19231J,1,Cage 1-3,4203.081
5,12,19231J,1,Cage 1-4,8949.919
5,12,19231J,1,Cage 1-5,298.643
5,12,19231J,1,Cage 1-6,170.181
5,12,19231J,2,Cage 2-1,350.139
5,12,19231J,2,Cage 2-2,213.31
5,12,19231J,2,Cage 2-3,1760.305
5,12,19231J,2,Cage 2-4,774.277
5,12,19231J,2,Cage 2-5,240.523
5,12,19231J,2,Cage 2-6,128.505
5,12,19231J,3,Cage 3-1,10.42
5,12,19231J,3,Cage 3-2,129.944
5,12,19231J,3,Cage 3-3,29.322
5,12,19231J,3,Cage 3-4,41.303
5,12,19231J,3,Cage 3-5,41.62
5,12,19231J,3,Cage 3-6,129.179
5,15,18291F,1,Cage 1-1,533.398
5,15,18291F,1,Cage 1-2,945.447
5,15,18291F,1,Cage 1-3,2266.768
5,15,18291F,1,Cage 1-4,15343.465
5,15,18291F,1,Cage 1-5,369.337
5,15,18291F,1,Cage 1-6,509.779
5,15,18291F,2,Cage 2-1,672.242
5,15,18291F,2,Cage 2-2,631.1
5,15,18291F,2,Cage 2-3,590.477
5,15,18291F,2,Cage 2-4,409.448
5,15,18291F,2,Cage 2-5,699.484
5,15,18291F,2,Cage 2-6,366.143
5,15,18291F,3,Cage 3-1,410.378
5,15,18291F,3,Cage 3-2,711.203
5,15,18291F,3,Cage 3-3,141.821
5,15,18291F,3,Cage 3-4,456.345
5,15,18291F,3,Cage 3-5,71.678
5,15,18291F,3,Cage 3-6,182.19
5,18,16829E,2,Cage 2-1,486.514
5,18,16829E,2,Cage 2-2,1075.995
5,18,16829E,2,Cage 2-3,7696.803
5,18,16829E,2,Cage 2-4,20390.457
5,18,16829E,2,Cage 2-5,903.444
5,18,16829E,2,Cage 2-6,991.74
5,20,16509C,3,Cage 3-1,290.094
5,20,16509C,3,Cage 3-2,1746.945
5,20,16509C,3,Cage 3-3,15627.355
5,20,16509C,3,Cage 3-4,5245.4
5,20,16509C,3,Cage 3-5,408.408
5,20,16509C,3,Cage 3-6,435.08
5,25,14827B,1,Cage 1-1,91.899
5,25,14827B,1,Cage 1-2,1297.317
5,25,14827B,1,Cage 1-3,1586.311
5,25,14827B,1,Cage 1-4,9040.793
5,25,14827B,1,Cage 1-5,217.836
5,25,14827B,1,Cage 1-6,57.008
5,25,14827B,2,Cage 2-1,124.996
5,25,14827B,2,Cage 2-2,321.866
5,25,14827B,2,Cage 2-3,8703.959
5,25,14827B,2,Cage 2-4,104.156
5,25,14827B,2,Cage 2-5,245.131
5,25,14827B,2,Cage 2-6,295.198
5,25,14827B,3,Cage 3-1,372.881
5,25,14827B,3,Cage 3-2,1557.327
5,25,14827B,3,Cage 3-3,635.917
5,25,14827B,3,Cage 3-4,237.59
5,25,14827B,3,Cage 3-5,273.792
5,25,14827B,3,Cage 3-6,493.76
5,37,10793A,1,Cage 1-1,209.905
5,37,10793A,1,Cage 1-2,7560.009
5,37,10793A,1,Cage 1-3,7032.896
5,37,10793A,1,Cage 1-4,7919.365
5,37,10793A,1,Cage 1-5,535.089
5,37,10793A,1,Cage 1-6,238.197
5,37,10793A,2,Cage 2-2,99.459
5,37,10793A,2,Cage 2-3,1203.789
5,37,10793A,2,Cage 2-4,80.449
5,37,10793A,2,Cage 2-5,24.652
5,37,10793A,2,Cage 2-6,89.961
5,37,10793A,3,Cage 3-1,3.03
5,37,10793A,3,Cage 3-2,1981.113
5,37,10793A,3,Cage 3-3,793.142
5,37,10793A,3,Cage 3-4,438.541
5,37,10793A,3,Cage 3-5,127.866
5,37,10793A,3,Cage 3-6,83.783
6,12,19231J,1,Cage 1-1,52.925
6,12,19231J,1,Cage 1-2,1110.669
6,12,19231J,1,Cage 1-3,2333.11
6,12,19231J,1,Cage 1-4,9099.014
6,12,19231J,1,Cage 1-5,175.465
6,12,19231J,1,Cage 1-6,57.491
6,12,19231J,2,Cage 2-1,99.628
6,12,19231J,2,Cage 2-2,404.138
6,12,19231J,2,Cage 2-3,3023.1
6,12,19231J,2,Cage 2-4,552.09
6,12,19231J,2,Cage 2-5,139.154
6,12,19231J,2,Cage 2-6,7.086
6,12,19231J,3,Cage 3-1,206.444
6,12,19231J,3,Cage 3-2,7.976
6,12,19231J,3,Cage 3-3,6458.811
6,12,19231J,3,Cage 3-4,6090.348
6,12,19231J,3,Cage 3-5,28.987
6,12,19231J,3,Cage 3-6,221.937
6,15,18291F,1,Cage 1-1,381.703
6,15,18291F,1,Cage 1-2,434.772
6,15,18291F,1,Cage 1-3,10339.825
6,15,18291F,1,Cage 1-4,6799.799
6,15,18291F,1,Cage 1-5,229.231
6,15,18291F,1,Cage 1-6,224.183
6,15,18291F,2,Cage 2-1,164.718
6,15,18291F,2,Cage 2-2,708.207
